dataset,record,base_record,snr_db,eval_scope,target_fs_hz,bits,lsb_uv,raw_bitrate_bps,storage_mib_per_day,tolerance_ms,reference_beats,detected_beats,tp,fp,fn,sensitivity_pct,ppv_pct,f1_pct,median_abs_timing_error_ms,p95_abs_timing_error_ms,clipping_rate_pct,quantization_rmse_uv,quantization_snr_db,evaluated_duration_s
nstdb,118e00,118,0,mixed_after_5min,250,11,4.88281250,2750,28.32412720,75,1916,2521,1678,843,238,87.57828810,66.56088854,75.63669146,1.44444444,41.23888889,1.27667830,193.85245313,16.61495141,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,360,6,156.25000000,2160,22.24731445,75,1916,2532,1689,843,227,88.15240084,66.70616114,75.94424460,2.77777778,36.11111111,1.39391277,212.31629725,15.82258083,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,360,7,78.12500000,2520,25.95520020,75,1916,2535,1692,843,224,88.30897704,66.74556213,76.02785891,2.77777778,36.11111111,1.33301098,201.46981231,16.27804782,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,360,8,39.06250000,2880,29.66308594,75,1916,2527,1690,837,226,88.20459290,66.87772062,76.07472429,2.77777778,36.11111111,1.30385195,197.02763345,16.47170464,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,360,9,19.53125000,3240,33.37097168,75,1916,2530,1693,837,223,88.36116910,66.91699605,76.15834458,2.77777778,36.11111111,1.28687327,195.04803416,16.55941591,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,360,10,9.76562500,3600,37.07885742,75,1916,2530,1692,838,224,88.30897704,66.87747036,76.11336032,2.77777778,36.11111111,1.27838392,194.12100145,16.60079700,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,360,11,4.88281250,3960,40.78674316,75,1916,2529,1693,836,223,88.36116910,66.94345591,76.17547807,2.77777778,36.11111111,1.27395470,193.67331092,16.62085192,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,100,6,156.25000000,600,6.17980957,150,1916,2565,1744,821,172,91.02296451,67.99220273,77.83976791,8.88888889,102.61111111,1.40051556,212.69857551,15.81125122,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,100,7,78.12500000,700,7.20977783,150,1916,2548,1724,824,192,89.97912317,67.66091052,77.24014337,8.88888889,103.88888889,1.34271440,201.85206261,16.26587901,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,100,8,39.06250000,800,8.23974609,150,1916,2567,1745,822,171,91.07515658,67.97818465,77.84965425,8.88888889,107.66666667,1.30484467,197.41456551,16.45895900,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,100,9,19.53125000,900,9.26971436,150,1916,2567,1736,831,180,90.60542797,67.62758083,77.44813741,8.88888889,104.72222222,1.29222142,195.43525170,16.54648479,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,100,10,9.76562500,1000,10.29968262,150,1916,2563,1739,824,177,90.76200418,67.85017558,77.65126144,8.88888889,105.66666667,1.28491323,194.50814249,16.58778711,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,100,11,4.88281250,1100,11.32965088,150,1916,2563,1737,826,179,90.65762004,67.77214202,77.56195579,8.88888889,105.55555556,1.27959818,194.06046516,16.60780148,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,125,6,156.25000000,750,7.72476196,150,1916,2531,1777,754,139,92.74530271,70.20940340,79.91904655,5.33333333,106.44444444,1.39466901,212.68332955,15.81135620,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,125,7,78.12500000,875,9.01222229,150,1916,2525,1779,746,137,92.84968685,70.45544554,80.11709075,5.33333333,105.98888889,1.33301443,201.82535176,16.26651085,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,125,8,39.06250000,1000,10.29968262,150,1916,2524,1783,741,133,93.05845511,70.64183835,80.31531532,5.33333333,105.64444444,1.30378166,197.38276972,16.45984043,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,125,9,19.53125000,1125,11.58714294,150,1916,2531,1785,746,131,93.16283925,70.52548400,80.27883967,5.33333333,106.68888889,1.29102554,195.40228288,16.54743255,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,125,10,9.76562500,1250,12.87460327,150,1916,2524,1781,743,135,92.95407098,70.56259905,80.22522523,5.33333333,105.88888889,1.28624199,194.47427032,16.58878220,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,125,11,4.88281250,1375,14.16206360,150,1916,2531,1781,750,135,92.95407098,70.36744370,80.09894311,5.33333333,105.88888889,1.28198995,194.02619030,16.60881808,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,180,6,156.25000000,1080,11.12365723,150,1916,2529,1825,704,91,95.25052192,72.16291024,82.11473566,2.77777778,100.00000000,1.39446643,212.50371943,15.81718412,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,180,7,78.12500000,1260,12.97760010,150,1916,2527,1819,708,97,94.93736952,71.98258805,81.88161152,2.77777778,100.00000000,1.33541015,201.66752259,16.27179557,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,180,8,39.06250000,1440,14.83154297,150,1916,2529,1822,707,94,95.09394572,72.04428628,81.97975253,2.77777778,102.77777778,1.30735841,197.22383554,16.46532682,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,180,9,19.53125000,1620,16.68548584,150,1916,2528,1825,703,91,95.25052192,72.19145570,82.13321332,2.77777778,100.00000000,1.29001063,195.24432018,16.55294666,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,180,10,9.76562500,1800,18.53942871,150,1916,2531,1822,709,94,95.09394572,71.98735678,81.94288284,2.77777778,102.63888889,1.28115219,194.31731700,16.59428473,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,180,11,4.88281250,1980,20.39337158,150,1916,2530,1822,708,94,95.09394572,72.01581028,81.96131354,2.77777778,102.63888889,1.27524656,193.86955059,16.61432276,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,250,6,156.25000000,1500,15.44952393,150,1916,2504,1820,684,96,94.98956159,72.68370607,82.35294118,1.55555556,104.78333333,1.39307819,212.50036955,15.81718364,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,250,7,78.12500000,1750,18.02444458,150,1916,2524,1821,703,95,95.04175365,72.14738510,82.02702703,1.55555556,102.33333333,1.33487825,201.64922778,16.27244617,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,250,8,39.06250000,2000,20.59936523,150,1916,2527,1827,700,89,95.35490605,72.29916898,82.24172856,1.55555556,100.46666667,1.30006458,197.20794489,16.46588929,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,250,9,19.53125000,2250,23.17428589,150,1916,2521,1824,697,92,95.19832985,72.35224117,82.21771467,1.55555556,102.08333333,1.28597966,195.22797006,16.55353666,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,250,10,9.76562500,2500,25.74920654,150,1916,2522,1824,698,92,95.19832985,72.32355274,82.19918882,1.55555556,102.80555556,1.28039884,194.30031736,16.59490724,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,250,11,4.88281250,2750,28.32412720,150,1916,2521,1824,697,92,95.19832985,72.35224117,82.21771467,1.55555556,102.80555556,1.27667830,193.85245313,16.61495141,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,360,6,156.25000000,2160,22.24731445,150,1916,2532,1834,698,82,95.72025052,72.43285940,82.46402878,2.77777778,102.77777778,1.39391277,212.31629725,15.82258083,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,360,7,78.12500000,2520,25.95520020,150,1916,2535,1835,700,81,95.77244259,72.38658777,82.45338126,2.77777778,100.00000000,1.33301098,201.46981231,16.27804782,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,360,8,39.06250000,2880,29.66308594,150,1916,2527,1830,697,86,95.51148225,72.41788682,82.37677245,2.77777778,101.52777778,1.30385195,197.02763345,16.47170464,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,360,9,19.53125000,3240,33.37097168,150,1916,2530,1836,694,80,95.82463466,72.56916996,82.59109312,2.77777778,102.77777778,1.28687327,195.04803416,16.55941591,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,360,10,9.76562500,3600,37.07885742,150,1916,2530,1836,694,80,95.82463466,72.56916996,82.59109312,2.77777778,102.77777778,1.27838392,194.12100145,16.60079700,1505.15555556
nstdb,118e00,118,0,mixed_after_5min,360,11,4.88281250,3960,40.78674316,150,1916,2529,1835,694,81,95.77244259,72.55832345,82.56467942,2.77777778,102.77777778,1.27395470,193.67331092,16.62085192,1505.15555556
nstdb,118e00,118,0,noise_only,100,6,156.25000000,600,6.17980957,75,982,1628,658,970,324,67.00610998,40.41769042,50.42145594,12.22222222,65.00000000,2.68664725,291.35443612,15.70591537,782.75555556
