snr_db,target_fs_hz,bits,records,reference_beats,tp,fp,fn,pooled_sensitivity_pct,pooled_ppv_pct,pooled_f1_pct,macro_f1_mean_pct,macro_f1_median_pct,macro_f1_q05_pct,median_timing_error_ms,p95_timing_error_ms_median,clipping_rate_pct_mean,quantization_rmse_uv_mean,quantization_snr_db_median,raw_bitrate_bps,storage_mib_per_day,reference_f1_pct,f1_drop_from_reference_pp,bitrate_reduction_pct
-6,100,6,2.00000000,1848.00000000,1258.00000000,1969.00000000,590.00000000,68.07359307,38.98357608,49.57635468,49.47089824,49.47089824,46.23819823,50.55555555,138.83333333,9.28701007,1247.41330086,8.39436359,600.00000000,6.17980957,58.63358929,9.05723461,84.84848485
-6,100,7,2.00000000,1848.00000000,1239.00000000,1971.00000000,609.00000000,67.04545455,38.59813084,48.99169632,48.90035676,48.90035676,45.97221631,51.11111111,137.50000000,9.15031427,1230.20508747,8.51671703,700.00000000,7.20977783,58.63358929,9.64189297,82.32323232
-6,100,8,2.00000000,1848.00000000,1249.00000000,1976.00000000,599.00000000,67.58658009,38.72868217,49.24108023,49.15474539,49.15474539,46.14574568,51.52777778,137.47222222,9.08516020,1221.79122831,8.57715500,800.00000000,8.23974609,58.63358929,9.39250906,79.79797980
-6,100,9,2.00000000,1848.00000000,1241.00000000,1967.00000000,607.00000000,67.15367965,38.68453865,49.09018987,49.00442922,49.00442922,45.95563773,51.38888889,137.79166666,9.05386070,1217.63371074,8.60716928,900.00000000,9.26971436,58.63358929,9.54339942,77.27272727
-6,100,10,2.00000000,1848.00000000,1247.00000000,1962.00000000,601.00000000,67.47835498,38.85945778,49.31777734,49.22933354,49.22933354,46.24759812,51.38888889,137.50000000,9.03661403,1215.56727418,8.62212459,1000.00000000,10.29968262,58.63358929,9.31581195,74.74747475
-6,100,11,2.00000000,1848.00000000,1247.00000000,1962.00000000,601.00000000,67.47835498,38.85945778,49.31777734,49.22560634,49.22560634,46.20763587,51.38888889,137.50000000,9.02064490,1214.53715963,8.62958902,1100.00000000,11.32965088,58.63358929,9.31581195,72.22222222
-6,125,6,2.00000000,1848.00000000,1279.00000000,1922.00000000,569.00000000,69.20995671,39.95626367,50.66349772,50.55499486,50.55499486,46.67272826,45.83333333,136.31666667,9.26465328,1247.23800376,8.39494623,750.00000000,7.72476196,58.63358929,7.97009157,81.06060606
-6,125,7,2.00000000,1848.00000000,1283.00000000,1907.00000000,565.00000000,69.42640693,40.21943574,50.93290988,50.84368813,50.84368813,47.68314682,47.38888889,135.72222222,9.14047728,1230.02978594,8.51731735,875.00000000,9.01222229,58.63358929,7.70067940,77.90404040
-6,125,8,2.00000000,1848.00000000,1284.00000000,1900.00000000,564.00000000,69.48051948,40.32663317,51.03338633,50.93498159,50.93498159,47.55880428,46.44444445,135.51944445,9.07711176,1221.61814986,8.57774729,1000.00000000,10.29968262,58.63358929,7.60020296,74.74747475
-6,125,9,2.00000000,1848.00000000,1278.00000000,1903.00000000,570.00000000,69.15584416,40.17604527,50.82521376,50.73401856,50.73401856,47.32279061,46.83333334,135.87222222,9.04696203,1217.46081435,8.60776416,1125.00000000,11.58714294,58.63358929,7.80837553,71.59090909
-6,125,10,2.00000000,1848.00000000,1280.00000000,1898.00000000,568.00000000,69.26406926,40.27690371,50.93513729,50.83642948,50.83642948,47.45389223,46.80555556,135.54722222,9.02754357,1215.39454225,8.62272035,1250.00000000,12.87460327,58.63358929,7.69845200,68.43434343
-6,125,11,2.00000000,1848.00000000,1277.00000000,1899.00000000,571.00000000,69.10173160,40.20780856,50.83598726,50.73511000,50.73511000,47.33117972,47.27777778,135.57777778,9.01834535,1214.36449416,8.63018534,1375.00000000,14.16206360,58.63358929,7.79760203,65.27777778
-6,180,6,2.00000000,1848.00000000,1356.00000000,1839.00000000,492.00000000,73.37662338,42.44131455,53.77751338,53.69995005,53.69995005,50.79055575,40.27777778,136.11111111,9.27989439,1246.73896165,8.39689166,1080.00000000,11.12365723,58.63358929,4.85607590,72.72727273
-6,180,7,2.00000000,1848.00000000,1358.00000000,1814.00000000,490.00000000,73.48484848,42.81210593,54.10358566,54.02435987,54.02435987,51.13773010,40.27777778,137.43055556,9.13475187,1229.53512580,8.51928130,1260.00000000,12.97760010,58.63358929,4.53000363,68.18181818
-6,180,8,2.00000000,1848.00000000,1345.00000000,1820.00000000,503.00000000,72.78138528,42.49605055,53.66048274,53.58408348,53.58408348,50.78172123,40.27777778,135.62500000,9.07477856,1221.12414162,8.57973154,1440.00000000,14.83154297,58.63358929,4.97310654,63.63636364
-6,180,9,2.00000000,1848.00000000,1352.00000000,1826.00000000,496.00000000,73.16017316,42.54247955,53.80023876,53.71827862,53.71827862,50.77590949,40.27777778,136.31944444,9.04284010,1216.96764861,8.60975488,1620.00000000,16.68548584,58.63358929,4.83335053,59.09090909
-6,180,10,2.00000000,1848.00000000,1350.00000000,1830.00000000,498.00000000,73.05194805,42.45283019,53.69928401,53.61810108,53.61810108,50.65544795,40.27777778,136.38888889,9.02580627,1214.90166439,8.62471528,1800.00000000,18.53942871,58.63358929,4.93430528,54.54545455
-6,180,11,2.00000000,1848.00000000,1353.00000000,1828.00000000,495.00000000,73.21428571,42.53379440,53.80791410,53.72545184,53.72545184,50.73959249,40.27777778,136.31944444,9.01799909,1213.87179294,8.63218210,1980.00000000,20.39337158,58.63358929,4.82567519,50.00000000
-6,250,6,2.00000000,1848.00000000,1426.00000000,1794.00000000,422.00000000,77.16450216,44.28571429,56.27466456,56.24081045,56.24081045,55.05299964,34.22222222,134.10555555,9.28079759,1246.65669413,8.39727659,1500.00000000,15.44952393,58.63358929,2.35892473,62.12121212
